text,kto,co,trigger
Sejm odrzucił projekt ustawy obywatelskiej.,Sejm,projekt ustawy obywatelskiej,odrzucić
Spółka technologiczna przejęła firmę z branży IT.,Spółka technologiczna,firmę,przejąć
Bank komercyjny podpisał umowę z zagranicznym funduszem.,Bank komercyjny,umowę,podpisać
Firma logistyczna otworzyła nowe centrum dystrybucyjne.,Firma logistyczna,nowe centrum dystrybucyjne,otworzyć
Koncern spożywczy wycofał produkt ze sprzedaży.,Koncern spożywczy,produkt,wycofać
Spółka deweloperska rozpoczęła budowę osiedla mieszkaniowego.,Spółka deweloperska,budowę osiedla mieszkaniowego,rozpocząć
Producent elektroniki zamknął fabrykę w Europie.,Producent elektroniki,fabrykę,zamknąć
Firma transportowa podpisała kontrakt z samorządem.,Firma transportowa,kontrakt,podpisać
Samochód osobowy zderzył się z autobusem na skrzyżowaniu.,Samochód osobowy,autobusem,zderzyć
Kierowca ciężarówki stracił panowanie nad pojazdem.,Kierowca ciężarówki,panowanie nad pojazdem,stracić
Autobus miejski uderzył w barierki ochronne.,Autobus miejski,barierki ochronnne,uderzyć
Samochód osobowy wypadł z drogi na zakręcie.,Samochód osobowy,drogi na zakręcie,wypaść
Rowerzysta został ranny po zderzeniu z autem.,Rowerzysta,autem,zderzyć
Napastnik pobił ochroniarza przed klubem.,Napastnik,ochroniaża,pobić
Konkurencyjna firma przejęła mniejszy startup technologiczny.,Konkurencyjna firma,mniejszy startup,przejąć
Zarząd spółki ogłosił upadłość finansową przedsiębiorstwa.,Zarząd spółki,upadłość finansową,ogłosić
Inwestor zagraniczny wykupił większość akcji banku.,Inwestor zagraniczny,większość akcji,wykupić
